Step,Loss,LR,Gate_Values
910,5.3419,0.000274,"[0.361,0.396,0.387]"
920,5.3623,0.000277,"[0.361,0.399,0.380]"
930,5.3639,0.000280,"[0.361,0.397,0.373]"
940,5.3002,0.000283,"[0.349,0.385,0.378]"
950,5.2424,0.000286,"[0.364,0.402,0.380]"
960,5.4590,0.000289,"[0.354,0.396,0.376]"
970,5.3445,0.000292,"[0.363,0.388,0.374]"
980,5.2820,0.000295,"[0.355,0.408,0.375]"
990,5.1914,0.000298,"[0.350,0.390,0.373]"
1000,5.2011,0.000300,"[0.350,0.389,0.374]"
1010,5.3369,0.000300,"[0.355,0.389,0.371]"
1020,5.3361,0.000300,"[0.354,0.388,0.366]"
1030,5.1599,0.000300,"[0.353,0.386,0.363]"
1040,5.2560,0.000300,"[0.337,0.364,0.367]"
1050,5.2152,0.000300,"[0.354,0.404,0.371]"
1060,5.3239,0.000300,"[0.361,0.396,0.368]"
1070,5.2198,0.000300,"[0.345,0.391,0.364]"
1080,5.1399,0.000300,"[0.343,0.389,0.355]"
1090,5.1650,0.000300,"[0.347,0.360,0.356]"
1100,5.1113,0.000300,"[0.353,0.393,0.354]"
1110,5.1450,0.000300,"[0.345,0.388,0.353]"
1120,5.2379,0.000300,"[0.356,0.398,0.361]"
1130,5.1691,0.000300,"[0.348,0.386,0.359]"
1140,5.1730,0.000300,"[0.336,0.380,0.360]"
1150,5.0168,0.000300,"[0.346,0.398,0.360]"
1160,5.0496,0.000300,"[0.349,0.387,0.364]"
10,9.8110,0.000004,"[0.498,0.505,0.506]"
20,9.7478,0.000007,"[0.498,0.505,0.504]"
30,9.6572,0.000010,"[0.498,0.505,0.503]"
40,9.5285,0.000013,"[0.498,0.504,0.503]"
50,9.3752,0.000016,"[0.500,0.502,0.503]"
60,9.2089,0.000019,"[0.501,0.500,0.503]"
70,9.0516,0.000022,"[0.502,0.498,0.505]"
80,8.8795,0.000025,"[0.502,0.498,0.505]"
90,8.7176,0.000028,"[0.504,0.498,0.509]"
100,8.5265,0.000031,"[0.504,0.498,0.510]"
110,8.3831,0.000034,"[0.501,0.496,0.513]"
120,8.2442,0.000037,"[0.501,0.496,0.513]"
130,8.0583,0.000040,"[0.498,0.494,0.513]"
140,7.8989,0.000043,"[0.497,0.492,0.513]"
150,7.7043,0.000046,"[0.493,0.489,0.515]"
160,7.6874,0.000049,"[0.490,0.485,0.515]"
170,7.5718,0.000052,"[0.487,0.482,0.515]"
180,7.4247,0.000055,"[0.486,0.477,0.515]"
190,7.4090,0.000058,"[0.483,0.475,0.513]"
200,7.4333,0.000061,"[0.481,0.474,0.513]"
210,7.2773,0.000064,"[0.480,0.474,0.513]"
220,7.2680,0.000067,"[0.478,0.470,0.508]"
230,7.3005,0.000070,"[0.476,0.468,0.503]"
240,7.1540,0.000073,"[0.472,0.464,0.500]"
250,7.0711,0.000076,"[0.470,0.464,0.497]"
260,7.1323,0.000079,"[0.468,0.461,0.494]"
270,6.9881,0.000082,"[0.466,0.458,0.487]"
280,6.9112,0.000085,"[0.464,0.454,0.487]"
290,6.8441,0.000088,"[0.464,0.455,0.486]"
300,6.8876,0.000091,"[0.464,0.456,0.484]"
310,6.8910,0.000094,"[0.461,0.455,0.483]"
320,6.7564,0.000097,"[0.460,0.451,0.479]"
330,6.6565,0.000100,"[0.461,0.448,0.477]"
340,6.6756,0.000103,"[0.460,0.446,0.476]"
350,6.5690,0.000106,"[0.455,0.442,0.474]"
360,6.5112,0.000109,"[0.457,0.441,0.472]"
370,6.5902,0.000112,"[0.454,0.439,0.471]"
380,6.4943,0.000115,"[0.455,0.441,0.467]"
390,6.5315,0.000118,"[0.452,0.439,0.468]"
400,6.5180,0.000121,"[0.452,0.441,0.466]"
410,6.4306,0.000124,"[0.450,0.441,0.466]"
420,6.4896,0.000127,"[0.448,0.434,0.461]"
430,6.2647,0.000130,"[0.447,0.440,0.464]"
440,6.4410,0.000133,"[0.446,0.436,0.464]"
450,6.3349,0.000136,"[0.443,0.437,0.464]"
460,6.3024,0.000139,"[0.441,0.431,0.460]"
470,6.2908,0.000142,"[0.438,0.431,0.463]"
480,6.1141,0.000145,"[0.437,0.433,0.461]"
490,6.1639,0.000148,"[0.434,0.432,0.461]"
500,6.1700,0.000151,"[0.433,0.430,0.456]"
510,6.1310,0.000154,"[0.432,0.431,0.454]"
520,6.1040,0.000157,"[0.424,0.432,0.455]"
530,6.1146,0.000160,"[0.424,0.426,0.451]"
540,5.9859,0.000163,"[0.425,0.430,0.454]"
550,5.9878,0.000166,"[0.420,0.423,0.450]"
560,6.0251,0.000169,"[0.419,0.427,0.448]"
570,5.9808,0.000172,"[0.413,0.418,0.445]"
580,5.8693,0.000175,"[0.410,0.419,0.445]"
590,5.8322,0.000178,"[0.410,0.423,0.446]"
600,5.8702,0.000181,"[0.407,0.417,0.440]"
610,5.8028,0.000184,"[0.403,0.415,0.438]"
620,5.6946,0.000187,"[0.399,0.409,0.434]"
630,5.8501,0.000190,"[0.399,0.410,0.432]"
640,5.7302,0.000193,"[0.400,0.421,0.435]"
650,5.8407,0.000196,"[0.385,0.407,0.432]"
660,5.8891,0.000199,"[0.395,0.411,0.425]"
670,5.8072,0.000202,"[0.394,0.415,0.425]"
680,5.7082,0.000205,"[0.389,0.410,0.420]"
690,5.6703,0.000208,"[0.382,0.406,0.419]"
700,5.7558,0.000211,"[0.379,0.402,0.419]"
710,5.8317,0.000214,"[0.377,0.400,0.416]"
720,5.7733,0.000217,"[0.375,0.398,0.410]"
730,5.6816,0.000220,"[0.371,0.404,0.416]"
740,5.5363,0.000223,"[0.374,0.405,0.415]"
750,5.5284,0.000226,"[0.373,0.398,0.413]"
760,5.5616,0.000229,"[0.365,0.396,0.410]"
770,5.4656,0.000232,"[0.365,0.391,0.407]"
780,5.4746,0.000235,"[0.362,0.393,0.405]"
790,5.4886,0.000238,"[0.369,0.397,0.408]"
800,5.4950,0.000241,"[0.357,0.391,0.407]"
810,5.5930,0.000244,"[0.360,0.393,0.408]"
820,5.3905,0.000247,"[0.356,0.388,0.397]"
830,5.5468,0.000250,"[0.366,0.398,0.397]"
840,5.4925,0.000253,"[0.362,0.395,0.388]"
850,5.3868,0.000256,"[0.349,0.385,0.390]"
860,5.4359,0.000259,"[0.358,0.392,0.388]"
870,5.3580,0.000262,"[0.356,0.401,0.387]"
880,5.2776,0.000265,"[0.345,0.383,0.393]"
890,5.3907,0.000268,"[0.351,0.388,0.387]"
900,5.5444,0.000271,"[0.349,0.398,0.386]"
910,5.2442,0.000274,"[0.347,0.402,0.386]"
920,5.2262,0.000277,"[0.348,0.391,0.382]"
930,5.4047,0.000280,"[0.346,0.385,0.380]"
940,5.2453,0.000283,"[0.366,0.401,0.377]"
950,5.3544,0.000286,"[0.344,0.390,0.382]"
960,5.0091,0.000289,"[0.349,0.393,0.379]"
970,5.2923,0.000292,"[0.355,0.405,0.372]"
980,5.2982,0.000295,"[0.336,0.382,0.378]"
990,5.0691,0.000298,"[0.333,0.377,0.375]"
1000,5.2456,0.000300,"[0.353,0.394,0.371]"
1010,5.0266,0.000300,"[0.324,0.379,0.373]"
1020,5.1203,0.000300,"[0.341,0.402,0.376]"
1030,5.0802,0.000300,"[0.333,0.392,0.377]"
1040,5.1728,0.000300,"[0.345,0.392,0.376]"
1050,5.0581,0.000300,"[0.329,0.395,0.377]"
1060,5.1401,0.000300,"[0.324,0.380,0.373]"
1070,5.0288,0.000300,"[0.323,0.370,0.370]"
1080,5.0160,0.000300,"[0.336,0.373,0.364]"
1090,5.1449,0.000300,"[0.338,0.378,0.371]"
1100,4.9545,0.000300,"[0.332,0.377,0.365]"
1110,5.1527,0.000300,"[0.326,0.386,0.362]"
1120,5.0563,0.000300,"[0.335,0.388,0.365]"
1130,5.0717,0.000300,"[0.334,0.396,0.369]"
1140,5.0110,0.000300,"[0.328,0.386,0.366]"
1150,5.1752,0.000300,"[0.334,0.394,0.365]"
1160,4.8850,0.000300,"[0.334,0.379,0.365]"
1170,5.0978,0.000300,"[0.357,0.404,0.364]"
1180,5.0783,0.000300,"[0.326,0.389,0.364]"
1190,4.8733,0.000300,"[0.325,0.383,0.364]"
1200,4.9510,0.000300,"[0.324,0.380,0.370]"
1210,4.8248,0.000300,"[0.324,0.376,0.370]"
1220,5.0657,0.000300,"[0.331,0.387,0.363]"
1230,4.9853,0.000300,"[0.325,0.405,0.360]"
1240,5.0434,0.000300,"[0.343,0.395,0.359]"
1250,4.9091,0.000300,"[0.326,0.385,0.357]"
1260,5.0108,0.000300,"[0.330,0.388,0.358]"
1270,4.8183,0.000300,"[0.323,0.388,0.362]"
1280,4.7482,0.000300,"[0.339,0.398,0.364]"
1290,4.7253,0.000300,"[0.326,0.394,0.358]"
1300,4.9144,0.000300,"[0.326,0.387,0.363]"
1310,4.9290,0.000300,"[0.335,0.399,0.361]"
1320,4.9156,0.000300,"[0.325,0.377,0.361]"
1330,4.7277,0.000300,"[0.327,0.388,0.359]"
1340,4.7913,0.000300,"[0.330,0.390,0.359]"
1350,5.0051,0.000300,"[0.341,0.393,0.366]"
1360,4.7181,0.000300,"[0.334,0.377,0.365]"
1370,4.7994,0.000300,"[0.322,0.384,0.362]"
1380,4.7602,0.000300,"[0.344,0.401,0.357]"
1390,4.8043,0.000300,"[0.341,0.404,0.365]"
1400,4.7364,0.000300,"[0.336,0.392,0.365]"
1410,4.5967,0.000300,"[0.344,0.402,0.362]"
1420,4.7601,0.000300,"[0.336,0.405,0.356]"
1430,4.6997,0.000300,"[0.341,0.385,0.360]"
1440,4.7705,0.000300,"[0.344,0.388,0.370]"
1450,4.7691,0.000300,"[0.329,0.389,0.367]"
1460,4.8519,0.000300,"[0.350,0.413,0.362]"
1470,4.7230,0.000300,"[0.351,0.399,0.366]"
1480,4.6024,0.000300,"[0.337,0.398,0.361]"
1490,4.7969,0.000300,"[0.338,0.389,0.363]"
1500,4.6648,0.000300,"[0.325,0.394,0.365]"
1510,4.8530,0.000300,"[0.334,0.410,0.370]"
1520,4.8269,0.000300,"[0.360,0.421,0.377]"
1530,4.8465,0.000300,"[0.354,0.406,0.368]"
1540,4.6954,0.000300,"[0.346,0.411,0.369]"
1550,4.6173,0.000300,"[0.336,0.393,0.368]"
1560,4.7220,0.000300,"[0.336,0.395,0.366]"
1570,4.7073,0.000300,"[0.346,0.403,0.371]"
1580,4.5700,0.000300,"[0.342,0.400,0.376]"
1590,4.5913,0.000300,"[0.346,0.408,0.374]"
1600,4.5867,0.000300,"[0.342,0.419,0.376]"
1610,4.7299,0.000300,"[0.346,0.413,0.376]"
1620,4.5400,0.000300,"[0.345,0.428,0.377]"
1630,4.7273,0.000300,"[0.359,0.422,0.381]"
1640,4.6202,0.000300,"[0.355,0.418,0.377]"
1650,4.7721,0.000300,"[0.348,0.412,0.380]"
1660,4.6422,0.000300,"[0.370,0.428,0.383]"
1670,4.5095,0.000300,"[0.339,0.421,0.374]"
1680,4.5006,0.000300,"[0.336,0.437,0.380]"
1690,4.4348,0.000300,"[0.363,0.416,0.386]"
1700,4.6760,0.000300,"[0.341,0.432,0.378]"
1710,4.6517,0.000300,"[0.351,0.428,0.386]"
1720,4.4673,0.000300,"[0.352,0.439,0.382]"
1730,4.5384,0.000300,"[0.345,0.442,0.387]"
1740,4.4072,0.000300,"[0.358,0.430,0.387]"
1750,4.5015,0.000300,"[0.348,0.419,0.389]"
1760,4.4282,0.000300,"[0.348,0.435,0.385]"
1770,4.6402,0.000300,"[0.361,0.456,0.381]"
1780,4.6078,0.000300,"[0.346,0.452,0.381]"
1790,4.6246,0.000300,"[0.356,0.461,0.388]"
1800,4.5941,0.000300,"[0.350,0.438,0.381]"
1810,4.4743,0.000300,"[0.356,0.444,0.389]"
1820,4.4859,0.000300,"[0.343,0.442,0.388]"
1830,4.4532,0.000300,"[0.356,0.437,0.392]"
1840,4.4303,0.000300,"[0.358,0.471,0.396]"
1850,4.4088,0.000300,"[0.355,0.461,0.402]"
1860,4.4475,0.000300,"[0.351,0.455,0.394]"
1870,4.6888,0.000300,"[0.347,0.444,0.402]"
1880,4.4123,0.000300,"[0.370,0.460,0.395]"
1890,4.4722,0.000300,"[0.362,0.481,0.397]"
1900,4.3826,0.000300,"[0.368,0.466,0.398]"
1910,4.4624,0.000300,"[0.340,0.462,0.392]"
1920,4.5814,0.000300,"[0.361,0.468,0.406]"
1930,4.4049,0.000300,"[0.357,0.470,0.408]"
1940,4.4306,0.000300,"[0.337,0.455,0.401]"
1950,4.3152,0.000300,"[0.350,0.463,0.395]"
1960,4.4839,0.000300,"[0.368,0.473,0.402]"
1970,4.3705,0.000300,"[0.356,0.474,0.402]"
1980,4.4958,0.000300,"[0.358,0.474,0.401]"
1990,4.4300,0.000300,"[0.352,0.480,0.408]"
2000,4.4961,0.000300,"[0.361,0.485,0.409]"
2010,4.4083,0.000300,"[0.347,0.466,0.409]"
2020,4.4632,0.000300,"[0.354,0.471,0.406]"
2030,4.4421,0.000300,"[0.363,0.497,0.407]"
2040,4.3968,0.000300,"[0.359,0.475,0.416]"
2050,4.4977,0.000300,"[0.356,0.484,0.412]"
2060,4.4387,0.000300,"[0.358,0.485,0.411]"
2070,4.4864,0.000300,"[0.355,0.498,0.417]"
2080,4.4571,0.000300,"[0.351,0.469,0.417]"
2090,4.6223,0.000300,"[0.360,0.503,0.423]"
2100,4.3404,0.000300,"[0.369,0.492,0.416]"
2110,4.3284,0.000300,"[0.359,0.503,0.418]"
2120,4.4389,0.000300,"[0.351,0.487,0.417]"
2130,4.5168,0.000300,"[0.367,0.496,0.420]"
2140,4.2659,0.000300,"[0.352,0.499,0.423]"
2150,4.2502,0.000300,"[0.348,0.492,0.425]"
2160,4.4992,0.000300,"[0.350,0.480,0.417]"
2170,4.4692,0.000300,"[0.352,0.493,0.424]"
2180,4.4097,0.000300,"[0.364,0.495,0.416]"
2190,4.4042,0.000300,"[0.350,0.488,0.424]"
2200,4.4882,0.000300,"[0.358,0.479,0.425]"
2210,4.3421,0.000300,"[0.365,0.491,0.427]"
2220,4.2400,0.000300,"[0.363,0.494,0.422]"
2230,4.2573,0.000300,"[0.361,0.514,0.426]"
2240,4.2592,0.000300,"[0.369,0.489,0.432]"
2250,4.5883,0.000300,"[0.353,0.511,0.435]"
2260,4.2288,0.000300,"[0.359,0.506,0.439]"
2270,4.3073,0.000300,"[0.360,0.514,0.433]"
2280,4.3082,0.000300,"[0.366,0.510,0.431]"
2290,4.4047,0.000300,"[0.355,0.511,0.435]"
2300,4.4519,0.000300,"[0.355,0.502,0.430]"
2310,4.1524,0.000300,"[0.356,0.495,0.431]"
2320,4.2096,0.000300,"[0.362,0.500,0.429]"
2330,4.2434,0.000300,"[0.356,0.500,0.438]"
2340,4.4696,0.000300,"[0.372,0.509,0.442]"
2350,4.2606,0.000300,"[0.362,0.532,0.439]"
2360,4.4007,0.000300,"[0.354,0.496,0.438]"
2370,4.4397,0.000300,"[0.361,0.511,0.439]"
2380,4.2254,0.000300,"[0.367,0.526,0.436]"
2390,4.4045,0.000300,"[0.362,0.507,0.438]"
2400,4.3444,0.000300,"[0.359,0.521,0.440]"
2410,4.1694,0.000300,"[0.362,0.521,0.445]"
2420,4.2130,0.000300,"[0.362,0.532,0.447]"
2430,4.1918,0.000300,"[0.353,0.538,0.444]"
2440,4.4078,0.000300,"[0.357,0.521,0.452]"
2450,4.2345,0.000300,"[0.368,0.533,0.450]"
2460,4.1800,0.000300,"[0.371,0.533,0.449]"
2470,4.2551,0.000300,"[0.360,0.519,0.448]"
2480,4.2580,0.000300,"[0.359,0.525,0.446]"
2490,4.2368,0.000300,"[0.380,0.538,0.450]"
2500,4.1761,0.000300,"[0.358,0.515,0.449]"
2510,4.3319,0.000300,"[0.370,0.516,0.453]"
2520,4.2485,0.000300,"[0.370,0.516,0.454]"
2530,4.0913,0.000300,"[0.369,0.515,0.453]"
2540,4.1789,0.000300,"[0.369,0.523,0.449]"
2550,4.4136,0.000300,"[0.375,0.529,0.457]"
2560,4.1878,0.000300,"[0.370,0.528,0.460]"
2570,4.2936,0.000300,"[0.373,0.539,0.470]"
2580,4.1808,0.000300,"[0.374,0.541,0.463]"
2590,4.2290,0.000300,"[0.382,0.551,0.476]"
2600,4.2264,0.000300,"[0.371,0.537,0.464]"
2610,4.1495,0.000300,"[0.371,0.517,0.471]"
2620,4.1623,0.000300,"[0.367,0.520,0.464]"
2630,4.3367,0.000300,"[0.359,0.556,0.460]"
2640,4.1735,0.000300,"[0.371,0.540,0.476]"
2650,4.2103,0.000300,"[0.371,0.538,0.471]"
2660,4.2840,0.000300,"[0.384,0.536,0.472]"
2670,4.1787,0.000300,"[0.375,0.546,0.465]"
2680,4.1097,0.000300,"[0.370,0.533,0.464]"
2690,4.2196,0.000300,"[0.379,0.538,0.470]"
2700,4.3186,0.000300,"[0.372,0.542,0.467]"
2710,4.2198,0.000300,"[0.376,0.548,0.475]"
2720,4.2795,0.000300,"[0.384,0.545,0.469]"
2730,4.2758,0.000300,"[0.376,0.531,0.469]"
2740,4.2931,0.000300,"[0.372,0.539,0.469]"
2750,4.2471,0.000300,"[0.366,0.555,0.471]"
2760,4.1527,0.000300,"[0.374,0.542,0.470]"
2770,4.1714,0.000300,"[0.376,0.545,0.465]"
2780,4.3943,0.000300,"[0.389,0.550,0.484]"
2790,4.1758,0.000300,"[0.370,0.548,0.485]"
2800,4.2705,0.000300,"[0.375,0.548,0.483]"
2810,4.3218,0.000300,"[0.378,0.557,0.472]"
2820,4.0404,0.000300,"[0.390,0.560,0.483]"
2830,4.2878,0.000300,"[0.382,0.548,0.480]"
2840,4.1493,0.000300,"[0.369,0.545,0.484]"
2850,4.2300,0.000300,"[0.381,0.572,0.479]"
2860,4.2539,0.000300,"[0.393,0.546,0.482]"
2870,4.2373,0.000300,"[0.386,0.556,0.490]"
2880,4.1777,0.000300,"[0.382,0.559,0.492]"
2890,4.2656,0.000300,"[0.384,0.556,0.492]"
2900,4.2612,0.000300,"[0.383,0.565,0.488]"
2910,4.3015,0.000300,"[0.389,0.544,0.493]"
2920,4.2775,0.000300,"[0.387,0.554,0.501]"
2930,4.2380,0.000300,"[0.378,0.553,0.495]"
2940,4.1029,0.000300,"[0.372,0.541,0.488]"
2950,4.1668,0.000300,"[0.392,0.575,0.510]"
2960,4.1368,0.000300,"[0.389,0.577,0.496]"
2970,4.1256,0.000300,"[0.367,0.546,0.489]"
2980,3.9959,0.000300,"[0.390,0.576,0.499]"
2990,4.2088,0.000300,"[0.384,0.540,0.489]"
3000,4.2139,0.000300,"[0.374,0.547,0.491]"
3010,4.0585,0.000300,"[0.370,0.560,0.501]"
3020,4.2086,0.000300,"[0.393,0.569,0.499]"
3030,4.2614,0.000300,"[0.377,0.552,0.501]"
3040,4.1103,0.000300,"[0.374,0.561,0.499]"
3050,4.1109,0.000300,"[0.379,0.560,0.497]"
3060,4.2949,0.000300,"[0.390,0.569,0.500]"
3070,4.1618,0.000300,"[0.391,0.582,0.512]"
3080,4.2216,0.000300,"[0.390,0.574,0.512]"
3090,4.0518,0.000300,"[0.391,0.559,0.513]"
3100,4.1583,0.000300,"[0.391,0.568,0.510]"
3110,4.1416,0.000300,"[0.380,0.569,0.509]"
3120,4.0290,0.000300,"[0.386,0.573,0.519]"
3130,4.0362,0.000300,"[0.377,0.564,0.518]"
3140,4.2696,0.000300,"[0.397,0.584,0.521]"
3150,4.2459,0.000300,"[0.381,0.557,0.518]"
3160,4.2533,0.000300,"[0.377,0.565,0.514]"
3170,4.1031,0.000300,"[0.395,0.587,0.522]"
3180,4.0191,0.000300,"[0.378,0.561,0.526]"
3190,4.0957,0.000300,"[0.385,0.567,0.521]"
3200,4.3207,0.000300,"[0.392,0.574,0.508]"
3210,4.2715,0.000300,"[0.393,0.584,0.508]"
3220,4.1992,0.000300,"[0.378,0.574,0.503]"
3230,4.1642,0.000300,"[0.386,0.584,0.524]"
3240,4.3226,0.000300,"[0.393,0.590,0.518]"
3250,4.0761,0.000300,"[0.386,0.553,0.520]"
3260,4.0111,0.000300,"[0.377,0.564,0.519]"
3270,4.0690,0.000300,"[0.382,0.570,0.526]"
3280,4.2418,0.000300,"[0.395,0.576,0.522]"
3290,4.0214,0.000300,"[0.383,0.578,0.529]"
3300,4.1360,0.000300,"[0.407,0.594,0.535]"
3310,4.0492,0.000300,"[0.391,0.592,0.529]"
3320,4.1544,0.000300,"[0.399,0.562,0.529]"
3330,4.0145,0.000300,"[0.384,0.582,0.537]"
3340,4.0721,0.000300,"[0.380,0.574,0.530]"
3350,4.0727,0.000300,"[0.397,0.578,0.532]"
3360,4.1101,0.000300,"[0.390,0.588,0.521]"
3370,4.1664,0.000300,"[0.402,0.580,0.541]"
3380,4.0231,0.000300,"[0.394,0.571,0.535]"
3390,4.0344,0.000300,"[0.395,0.582,0.526]"
3400,4.0303,0.000300,"[0.400,0.581,0.532]"
3410,4.0756,0.000300,"[0.396,0.573,0.529]"
3420,4.0856,0.000300,"[0.384,0.584,0.525]"
3430,4.1690,0.000300,"[0.385,0.563,0.524]"
3440,4.1790,0.000300,"[0.383,0.576,0.529]"
3450,4.2620,0.000300,"[0.390,0.561,0.526]"
3460,4.0986,0.000300,"[0.396,0.570,0.533]"
3470,4.0054,0.000300,"[0.384,0.577,0.541]"
3480,3.9625,0.000300,"[0.401,0.586,0.534]"
3490,3.9983,0.000300,"[0.392,0.593,0.553]"
3500,4.1728,0.000300,"[0.408,0.593,0.551]"
3510,3.9235,0.000300,"[0.405,0.575,0.540]"
3520,3.8912,0.000300,"[0.396,0.588,0.545]"
3530,4.2179,0.000300,"[0.386,0.579,0.542]"
3540,4.1795,0.000300,"[0.397,0.577,0.539]"
3550,4.0942,0.000300,"[0.410,0.594,0.547]"
3560,4.1580,0.000300,"[0.399,0.594,0.561]"
3570,4.1962,0.000300,"[0.396,0.587,0.549]"
3580,4.0546,0.000300,"[0.390,0.587,0.548]"
3590,4.0236,0.000300,"[0.407,0.589,0.550]"
3600,4.1302,0.000300,"[0.396,0.587,0.551]"
3610,4.0134,0.000300,"[0.408,0.583,0.550]"
3620,4.1204,0.000300,"[0.401,0.600,0.552]"
3630,4.0332,0.000300,"[0.394,0.579,0.542]"
3640,3.9987,0.000300,"[0.399,0.571,0.544]"
3650,3.9280,0.000300,"[0.391,0.593,0.560]"
3660,4.0323,0.000300,"[0.403,0.600,0.554]"
3670,3.9368,0.000300,"[0.403,0.587,0.549]"
3680,4.0437,0.000300,"[0.397,0.570,0.549]"
3690,4.1327,0.000300,"[0.413,0.611,0.556]"
3700,3.9768,0.000300,"[0.410,0.598,0.549]"
3710,4.0406,0.000300,"[0.410,0.587,0.552]"
3720,4.1645,0.000300,"[0.389,0.587,0.546]"
